Study,Author,Year,Order,Genus,Species,Structure,Region,Suffix,n,Freq,Max vertebral age,Min validated,Max validated,Max actual age,Age underestimation,Magnitude min,Magnitude max,Magnitude mean,Method,Method2,Method3,Worked,Captive,Rationale,Comment
17,Brown and Gruber,1988,Carcharhiniformes,Negaprion,Negaprion brevirostris,Vert-section,NWA,b,55,Monthly,20,0,8.3,,No,,,,Chemical,NA,NA,Yes,No,,
18,Chin et al,2013,Carcharhiniformes,Carcharhinus,Carcharhinus melanopterus,Vert-section,AUS/NZ,,11,Annual,15,0,8,,Yes,3,3,3,Chemical,NA,NA,Partially,Yes,Recapture did not form expected number of growth zones,Calcein marks visible in 8 of 11 sharks. Apparent age underestimation in sharks 8-11 years
19,Natanson et al,2002,Lamniformes,Lamna,Lamna nasus,Vert-section,NWA,b,12,Annual,25,0,11,,No,,,,Chemical,Tagging,NA,Yes,No,,
20,Parsons,1993,Carcharhiniformes,Sphyrna,Sphyrna tiburo,Vert-section,NWA,a,28,Annual,6,0,6,,No,,,,Chemical,Known age,Tagging,Partially,Yes,,Two individuals did not have annual banding. Four out of five wild caught and recaptured sharks failed to form OTC mark on vertebrae
21,Holden and Vince,1973,Rajiformes,Raja,Raja clavata,Vert-whole,NEA,,16,Annual,NA,NA,NA,,NA,,,,Chemical,NA,NA,Yes,No,,
22,Hale and Lowe,2008,Myliobatiformes,Urobatis,Urobatis halleri,Vert-section,NEP,,12,Annual,14,0,12,,No,,,,Chemical,Mass spec,Edge Analysis,Yes,Yes,,Also including data from Hale et al (2006)
23,Ardizzone et al,2006,Lamniformes,Isurus,Isurus oxyrinchus,Vert-section,NWA,b,8,Annual,31,0,31,,Maybe,,,,Bomb radiocarbon,NA,NA,Yes,No,"Phase-shift noted in one specimen, attributed to methodological error",Possible in one older specimen but attributed to dietary phase lag not age underestimation
24,Campana et al,2006,Squaliformes,Squalus,Squalus acanthias,Spine-section,NWA,,8,Annual,40,0,25,,No,,,,Bomb radiocarbon,NA,NA,Yes,No,,Includes maximum age from Nammack et al (1985)
24,Campana et al,2006,Squaliformes,Squalus,Squalus suckleyii,Spine-section,NEP,b,13,Annual,80,0,52,,Maybe,,,,Bomb radiocarbon,NA,NA,Yes,No,"Phase-shift noted in at least one specimen, attributed to methodological error",Maximum age from McFarlane and Beamish (1987)
24,Campana et al,2006,Squaliformes,Squalus,Squalus acanthias,Spine-section,NEA,b,11,Annual,25,0,25,,No,,,,Bomb radiocarbon,NA,NA,Yes,No,,
